contract,openMarginRate,closeMarginRate,margin,isMainContract
lc2610,0.15,0.15,26613.0,0
lc2611,0.15,0.15,26832.0,0
lc2612,0.15,0.15,26928.0,0
lc2701,0.15,0.15,26991.0,0
lc2702,0.15,0.15,27090.0,0
lc2703,0.15,0.15,27150.0,0
pd2606,0.19,0.19,62462.5,1
pd2608,0.19,0.19,63184.5,0
pd2610,0.19,0.19,64049.0,0
pd2612,0.19,0.19,64381.5,0
pd2702,0.19,0.19,66034.5,0
ps2606,0.13,0.13,14114.1,1
ps2607,0.13,0.13,14235.0,0
ps2608,0.13,0.13,14355.9,0
ps2609,0.13,0.13,14461.2,0
ps2610,0.13,0.13,14625.0,0
ps2611,0.13,0.13,14595.8,0
ps2612,0.13,0.13,15832.1,0
ps2701,0.13,0.13,15927.6,0
ps2702,0.13,0.13,15972.5,0
ps2703,0.13,0.13,16079.7,0
pt2606,0.19,0.19,91361.5,1
pt2608,0.19,0.19,92093.0,0
pt2610,0.19,0.19,92834.0,0
pt2612,0.19,0.19,93385.0,0
pt2702,0.19,0.19,94544.0,0
si2606,0.1,0.1,4155.0,0
si2607,0.1,0.1,4180.0,0
si2608,0.1,0.1,4202.5,0
si2609,0.1,0.1,4220.0,1
si2610,0.1,0.1,4242.5,0
si2611,0.1,0.1,4250.0,0
si2612,0.1,0.1,4405.0,0
si2701,0.1,0.1,4395.0,0
si2702,0.1,0.1,4397.5,0
si2703,0.1,0.1,4435.0,0
bc2606,0.12,0.12,55260.0,1
bc2607,0.12,0.12,55368.0,0
bc2608,0.12,0.12,55326.0,0
bc2609,0.12,0.12,55374.0,0
bc2610,0.12,0.12,56136.0,0
bc2611,0.12,0.12,56040.0,0
bc2612,0.12,0.12,55842.0,0
bc2701,0.12,0.12,55860.0,0
ec2605,0.3,0.3,27052.5,0
ec2606,0.22,0.22,33363.0,1
ec2607,0.22,0.22,37152.5,0
ec2608,0.22,0.22,33643.5,0
ec2609,0.22,0.22,24046.0,0
ec2610,0.22,0.22,22330.0,0
ec2612,0.22,0.22,26031.5,0
lu2606,0.22,0.22,12196.8,0
lu2607,0.22,0.22,11105.6,1
lu2608,0.22,0.22,10687.6,0
lu2609,0.22,0.22,10307.0,0
lu2610,0.22,0.22,9955.0,0
lu2611,0.22,0.22,9752.6,0
lu2612,0.22,0.22,9721.8,0
lu2701,0.22,0.22,9312.6,0
lu2702,0.22,0.22,9185.0,0
lu2703,0.22,0.22,9156.4,0
nr2606,0.11,0.11,15928.0,0
nr2607,0.11,0.11,16093.0,1
nr2608,0.11,0.11,16247.0,0
nr2609,0.11,0.11,16357.0,0
nr2610,0.11,0.11,16511.0,0
nr2611,0.11,0.11,16643.0,0
nr2612,0.11,0.11,16791.5,0
nr2701,0.11,0.11,16852.0,0
nr2702,0.11,0.11,16901.5,0
sc2606,0.22,0.22,143833.8,0
sc2607,0.22,0.22,144320.0,1
sc2608,0.22,0.22,143723.8,0
sc2609,0.22,0.22,143242.0,0
sc2610,0.22,0.22,142183.8,0
sc2611,0.22,0.22,140448.0,0
sc2612,0.22,0.22,138553.8,0
sc2701,0.22,0.22,136004.0,0
sc2702,0.22,0.22,134640.0,0
sc2703,0.22,0.22,132990.0,0
sc2706,0.22,0.22,132220.0,0
sc2709,0.22,0.22,130130.0,0
sc2712,0.22,0.22,126500.0,0
